[label]	assay_label	pubmedID
miR-142-5p and NFE2L2 (human) co-expression conclusion	qRT-PCR 202	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	western blot 203	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	western blot 203	PubMed 23236440
miR-144 and SOD1 (human) co-expression conclusion	Western blot 213	PubMed 20709907
miR-144 and SOD1 (human) co-expression conclusion	ELISA 213	PubMed 20709907
miR-146a and IRAK1 (human) co-expression conclusion	luciferase assay 234	PubMed 16885212
miR-146a and TRAF6 (human) co-expression conclusion	luciferase assay 228	PubMed 16885212
miR-146a and TRAF6 (human) co-expression conclusion	luciferase assay 228	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	luciferase assay 228	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	qRT-PCR 227	PubMed 16885212
miR-146a and TRAF6 (human) co-expression conclusion	qRT-PCR 227	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	qRT-PCR 227	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	luciferase assay 235	PubMed 16885212
miR-146a and TRAF6 (human) co-expression conclusion	luciferase assay 235	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	luciferase assay 235	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	Western blot 227	PubMed 16885212
miR-146a and TRAF6 (human) co-expression conclusion	Western blot 227	PubMed 23733368
miR-146a and TRAF6 (human) co-expression conclusion	Western blot 227	PubMed 23733368
miR-146a and Traf6 (mouse) co-expression conclusion	qRT-PCR 231	PubMed 23733368
miR-146a and Traf6 (mouse) co-expression conclusion	Western blot 231	PubMed 23733368
miR-146a and Traf6 (mouse) co-expression conclusion	immunofluorescence 231	PubMed 23733368
miR-148a and Camk2a (mouse) co-expression conclusion	ELISA 248	PubMed 21068402
miR-148a and Camk2a (mouse) co-expression conclusion	ELISA 248	PubMed 21068402
miR-148a and Camk2a (mouse) co-expression conclusion	flow cytometry 248	PubMed 21068402
miR-148a and Camk2a (mouse) co-expression conclusion	flow cytometry 248	PubMed 21068402
miR-148a and Camk2a (mouse) co-expression conclusion	3'-UTR luciferase assay 247	PubMed 21068402
miR-148a and Camk2a (mouse) co-expression conclusion	3'-UTR luciferase assay 247	PubMed 21068402
miR-148a and DNMT1 (human) co-expression conclusion	quantitative Real-time PCR 241	PubMed 20483747
miR-148a and RASGRP1 (human) co-expression conclusion	luciferase assay reporter assay 242	PubMed 20483747
miR-148b and Camk2a (mouse) co-expression conclusion	ELISA 254	PubMed 21068402
miR-148b and Camk2a (mouse) co-expression conclusion	ELISA 254	PubMed 21068402
miR-148b and Camk2a (mouse) co-expression conclusion	flow cytometry 254	PubMed 21068402
miR-148b and Camk2a (mouse) co-expression conclusion	flow cytometry 254	PubMed 21068402
miR-148b and Camk2a (mouse) co-expression conclusion	3'-UTR luciferase assay 253	PubMed 21068402
miR-148b and Camk2a (mouse) co-expression conclusion	3'-UTR luciferase assay 253	PubMed 21068402
miR-152 and Camk2a (mouse) co-expression conclusion	ELISA 279	PubMed 21068402
miR-152 and Camk2a (mouse) co-expression conclusion	ELISA 279	PubMed 21068402
miR-152 and Camk2a (mouse) co-expression conclusion	flow cytometry 279	PubMed 21068402
miR-152 and Camk2a (mouse) co-expression conclusion	flow cytometry 279	PubMed 21068402
miR-152 and Camk2a (mouse) co-expression conclusion	3'-UTR luciferase assay 278	PubMed 21068402
miR-152 and Camk2a (mouse) co-expression conclusion	3'-UTR luciferase assay 278	PubMed 21068402
miR-153 and App (rat) co-expression conclusion	qPCR 281	PubMed 24401368
miR-155 and AGTR1 (human) co-expression conclusion	in vitro scratch assay 294	PubMed 21310411
miR-155 and AGTR1 (human) co-expression conclusion	in vitro scratch assay 294	PubMed 21310411
miR-155 and AGTR1 (human) co-expression conclusion	Western blot 292	PubMed 21310411
miR-155 and AGTR1 (human) co-expression conclusion	Western blot 292	PubMed 21310411
miR-155 and BACH1 (human) co-expression conclusion	Western blot 287	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	Western blot 287	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	Western blot 287	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	q-PCR 288	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	q-PCR 288	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	q-PCR 288	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	luciferase assay 286	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	luciferase assay 286	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	luciferase assay 286	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	Western blot 286	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	Western blot 286	PubMed 21982894
miR-155 and BACH1 (human) co-expression conclusion	Western blot 286	PubMed 21982894
miR-155 and ETS1 (human) co-expression conclusion	luciferase assay 291	PubMed 21310411
miR-155 and ETS1 (human) co-expression conclusion	Western blot 291	PubMed 21310411
miR-15a and SPTLC1 (human) co-expression conclusion	qRT-PCR 301	PubMed 21994399
miR-15a and SPTLC1 (human) co-expression conclusion	Western blot 301	PubMed 21994399
miR-15a and Sptlc1 (mouse) co-expression conclusion	qRT-PCR 302	PubMed 21994399
miR-15a and Sptlc1 (mouse) co-expression conclusion	Western blot 302	PubMed 21994399
miR-15b and Bace1 (rat) co-expression conclusion	qPCR 304	PubMed 24401372
miR-17-92 and Pten (mouse) co-expression conclusion	EdU incorporation assay 321	PubMed 23575307
miR-17-92 and Pten (mouse) co-expression conclusion	qPCR 321	PubMed 23575307
miR-181a and Dusp5 (mouse) co-expression conclusion	Fusion luciferase assay 329	PubMed 17382377
miR-181a and Dusp5 (mouse) co-expression conclusion	western blot 329	PubMed 17382377
miR-181a and Ptpn22 (mouse) co-expression conclusion	Fusion luciferase assay 327	PubMed 17382377
miR-181a and Ptpn22 (mouse) co-expression conclusion	western blot 327	PubMed 17382377
miR-181a-5p and IL6 (human) co-expression conclusion	qPCR 340	PubMed 24088671
miR-181a-5p and TGFB1 (human) co-expression conclusion	qPCR 342	PubMed 24088671
miR-184 and EZR (human) co-expression conclusion	western blot 350	PubMed 25251993
miR-184 and EZR (human) co-expression conclusion	western blot 350	PubMed 25251993
miR-184 and EZR (human) co-expression conclusion	qRT-PCR 350	PubMed 25251993
miR-184 and EZR (human) co-expression conclusion	qRT-PCR 350	PubMed 25251993
miR-184 and EZR (human) co-expression conclusion	luciferase assay 349	PubMed 25251993
miR-184 and EZR (human) co-expression conclusion	luciferase assay 349	PubMed 25251993
miR-195 and Bace1 (rat) co-expression conclusion	qPCR 371	PubMed 24401374
miR-195 and Sirt1 (mouse) co-expression conclusion	ELISA 375	PubMed 21622680
miR-196a and HOXB7 (human) co-expression conclusion	qRT-PCR 382	PubMed 25428821
miR-196a and HOXB7 (human) co-expression conclusion	qRT-PCR 382	PubMed 25428821
miR-196a and HOXB7 (human) co-expression conclusion	luciferase assay 381	PubMed 25428821
miR-196a and HOXB7 (human) co-expression conclusion	luciferase assay 381	PubMed 25428821
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RNA electrophoretic mobility shift assay 387	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	RT-qPCR 388	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 384	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	western blot 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	luciferase assay 386	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	QuantiMiR kit 394	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 391	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 392	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 385	PubMed 25003985
miR-196b and Ins2 (mouse) co-expression conclusion	transfection 385	PubMed 25003985
