[label]	pubmedID
miR-33 and ABCA1 (human) miRNA binding conclusion	PubMed 20466882
miR-339-5p and BACE1 (human) miRNA binding conclusion	PubMed 24352696
miR-34a and Bcl2 (mouse) miRNA binding conclusion	PubMed 19683563
miR-34a and Nampt (mouse) miRNA binding conclusion	PubMed 23834033
miR-34a and Ppp1r10 (mouse) miRNA binding conclusion	PubMed 23426265
miR-34a and SIRT1 (human) miRNA binding conclusion	PubMed 25526086
miR-34a and SIRT1 (human) miRNA binding conclusion	PubMed 20627091
miR-34a and Sirt1 (mouse) miRNA binding conclusion	PubMed 25638533
miR-34c and Sirt1 (mouse) miRNA binding conclusion	PubMed 21946562
miR-375 and TWIST1 (human) miRNA binding conclusion	PubMed 19343226
miR-470 and IGF1R (human) miRNA binding conclusion	PubMed 21967153
miR-483-5p and Socs3 (mouse) miRNA binding conclusion	PubMed 21146586
miR-486 and Foxo1 (rat) miRNA binding conclusion	PubMed 20142475
miR-486 and Pten (rat) miRNA binding conclusion	PubMed 20142475
miR-486-5p and ID4 (human) miRNA binding conclusion	PubMed 24905922
miR-489 and Dek (mouse) miRNA binding conclusion	PubMed 22358842
miR-494 and CDCA2 (human) miRNA binding conclusion	PubMed 24905922
miR-494 and HNRNPA3 (human) miRNA binding conclusion	PubMed 24823364
miR-494 and PDIA3 (human) miRNA binding conclusion	PubMed 24823364
miR-494 and RAD23B (human) miRNA binding conclusion	PubMed 24823364
miR-494 and SYNCRIP (human) miRNA binding conclusion	PubMed 24823364
miR-499 and Purb (mouse) miRNA binding conclusion	PubMed 19922871
miR-499 and Sox6 (mouse) miRNA binding conclusion	PubMed 19922871
miR-499 and Sp3 (mouse) miRNA binding conclusion	PubMed 19922871
miR-669b and IGF1R (human) miRNA binding conclusion	PubMed 21967153
miR-681 and IGF1R (human) miRNA binding conclusion	PubMed 21967153
miR-9 and Foxp2 (mouse) miRNA binding conclusion	PubMed 22874921
miR-92a and KLF2 (human) miRNA binding conclusion	PubMed 22267480
miR-92a and KLF2 (human) miRNA binding conclusion	PubMed 25550450
miR-92a and KLF4 (human) miRNA binding conclusion	PubMed 25550450
miR-92a and KLF4 (human) miRNA binding conclusion	PubMed 22267480
miR-92a and SIRT1 (human) miRNA binding conclusion	PubMed 25550450
